unproc_x,unproc_y,unproc_z,lowpass_filtered_x,lowpass_filtered_y,lowpass_filtered_z,proc_x,proc_y,proc_z,model_output_0,model_output_1,model_output_2,model_output_3,output_class,contains_output
9.162540435791016,1.010430097579956,0.5101200342178345,9.847556114196777,0.5236701965332031,0.02521161176264286,0.07534180581569672,-0.42071160674095154,-0.14627422392368317,0.0,0.0,0.0,0.0,0,0
9.074250221252441,1.2654900550842285,0.35316002368927,9.847419738769531,0.5251730680465698,0.026602061465382576,0.06375658512115479,-0.41199755668640137,-0.12717317044734955,0.0,0.0,0.0,0.0,0,0
8.760330200195312,1.324350118637085,0.29430001974105835,9.847277641296387,0.526675283908844,0.028028978034853935,0.12490598857402802,-0.4778706133365631,-0.10408131033182144,0.0,0.0,0.0,0.0,0,0
8.58375072479248,1.2949200868606567,0.29430001974105835,9.84713077545166,0.5281765460968018,0.029491735622286797,0.18498766422271729,-0.5267863273620605,-0.13102087378501892,0.0,0.0,0.0,0.0,0,0
8.416980743408203,1.1575801372528076,0.2746800184249878,9.846980094909668,0.5296765565872192,0.030989712104201317,0.30780795216560364,-0.46387940645217896,-0.1541818082332611,0.0,0.0,0.0,0.0,0,0
8.171730995178223,0.8338500261306763,0.20601001381874084,9.846824645996094,0.531174898147583,0.032522283494472504,0.3043157160282135,-0.4226103723049164,-0.08776544779539108,0.0,0.0,0.0,0.0,0,0
8.181540489196777,0.657270073890686,0.176580011844635,9.846664428710938,0.5326712131500244,0.034088823944330215,0.29418128728866577,-0.4410698413848877,-0.027949772775173187,0.0,0.0,0.0,0.0,0,0
8.269830703735352,0.48069003224372864,0.09810000658035278,9.846500396728516,0.5341651439666748,0.03568870946764946,0.31394296884536743,-0.46876487135887146,0.012703999876976013,0.0,0.0,0.0,0.0,0,0
8.456220626831055,0.2648700177669525,-0.05886000394821167,9.846333503723145,0.5356563329696655,0.03732132539153099,0.40610840916633606,-0.3893935978412628,-0.04096141830086708,0.0,0.0,0.0,0.0,0,0
8.750520706176758,0.2256300151348114,-0.15696001052856445,9.846161842346191,0.5371443629264832,0.03898605704307556,0.4313258230686188,-0.33827221393585205,-0.004653740208595991,0.0,0.0,0.0,0.0,0,0
8.770140647888184,0.1863900125026703,-0.2746800184249878,9.845986366271973,0.5386289358139038,0.040682293474674225,0.4380248785018921,-0.3061513304710388,0.06216104328632355,0.0,0.0,0.0,0.0,0,0
8.750520706176758,0.14715000987052917,-0.4120200276374817,9.845807075500488,0.5401096343994141,0.042409420013427734,0.4616772532463074,-0.22079519927501678,0.18495884537696838,0.0,0.0,0.0,0.0,0,0
8.701470375061035,0.20601001381874084,-0.4022100269794464,9.845624923706055,0.5415860414505005,0.044166821986436844,0.4307115077972412,-0.22280997037887573,0.20454484224319458,0.0,0.0,0.0,0.0,0,0
